film,role_type,name,image
Finding Dory,Co-director,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
Finding Dory,Director,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Finding Dory,Musician,Thomas Newman,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Finding Dory,Producer,Lindsey Collins,https://image.tmdb.org/t/p/w500/j8GZqzfI8VvUDQLq2LT5zuLeaX7.jpg
Finding Dory,Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Finding Dory,Screenwriter,Victoria Strouse,https://image.tmdb.org/t/p/w500/n4ZvLyMQmIGx6257xZnEJb41fP7.jpg
Finding Dory,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars 3,Director,Brian Fee,https://image.tmdb.org/t/p/w500/99PPaCEodxKzEz0oPbPioWXiCPN.jpg
Cars 3,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
Cars 3,Producer,Kevin Reher,https://image.tmdb.org/t/p/w500/ulnGGeHrys0tkTq9vFBSmHpdCQX.jpg
Cars 3,Screenwriter,Kiel Murray,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars 3,Screenwriter,Bob Peterson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars 3,Screenwriter,Mike Rich,https://image.tmdb.org/t/p/w500/aCuu3znfYszntKkqIvCDZszeXL9.jpg
Cars 3,Storywriter,Brian Fee,https://image.tmdb.org/t/p/w500/99PPaCEodxKzEz0oPbPioWXiCPN.jpg
Cars 3,Storywriter,Eyal Podell,https://image.tmdb.org/t/p/w500/miImj4RsTKwwZTxEbMx1ePxYYi0.jpg
Cars 3,Storywriter,Ben Queen,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars 3,Storywriter,Jonathan E. Stewart,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Coco,Co-director,Adrian Molina,https://image.tmdb.org/t/p/w500/aFSYItLNBrY3zrPr69YqYwezj7D.jpg
Coco,Director,Lee Unkrich,https://image.tmdb.org/t/p/w500/crb297utC6W4HSstOe5djDPTwEN.jpg
Coco,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
Coco,Producer,Darla K. Anderson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Coco,Screenwriter,Matthew Aldrich,https://image.tmdb.org/t/p/w500/wyVepuBeIiZTIh3xH9xZJqCF7NC.jpg
Coco,Screenwriter,Adrian Molina,https://image.tmdb.org/t/p/w500/aFSYItLNBrY3zrPr69YqYwezj7D.jpg
Coco,Storywriter,Matthew Aldrich,https://image.tmdb.org/t/p/w500/wyVepuBeIiZTIh3xH9xZJqCF7NC.jpg
Coco,Storywriter,Jason Katz,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Coco,Storywriter,Adrian Molina,https://image.tmdb.org/t/p/w500/aFSYItLNBrY3zrPr69YqYwezj7D.jpg
Coco,Storywriter,Lee Unkrich,https://image.tmdb.org/t/p/w500/crb297utC6W4HSstOe5djDPTwEN.jpg
Incredibles 2,Director,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
Incredibles 2,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
Incredibles 2,Producer,Nicole Paradis Grindle,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Incredibles 2,Producer,John Walker,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Incredibles 2,Screenwriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
Incredibles 2,Storywriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
Toy Story 4,Director,Josh Cooley,https://image.tmdb.org/t/p/w500/eGN0vaFmKtqHu1nFi3Lv4roQ6P2.jpg
Toy Story 4,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
Toy Story 4,Producer,Mark Nielsen,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 4,Producer,Jonas Rivera,https://image.tmdb.org/t/p/w500/uzoCan3ZeK2jXt3NaZ6uilvcQTU.jpg
Toy Story 4,Screenwriter,Stephany Folsom,https://image.tmdb.org/t/p/w500/5OAuBOYlQOeQfexrbkT0QOWBfxi.jpg
Toy Story 4,Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 4,Storywriter,Josh Cooley,https://image.tmdb.org/t/p/w500/eGN0vaFmKtqHu1nFi3Lv4roQ6P2.jpg
Toy Story 4,Storywriter,Stephany Folsom,https://image.tmdb.org/t/p/w500/5OAuBOYlQOeQfexrbkT0QOWBfxi.jpg
Toy Story 4,Storywriter,Martin Hynes,https://image.tmdb.org/t/p/w500/sNvc1gNN73ee9u1wz27qNf4Ln4k.jpg
Toy Story 4,Storywriter,Rashida Jones,https://image.tmdb.org/t/p/w500/cgWGm9eYCretBWeljPVtpRV7n6V.jpg
Toy Story 4,Storywriter,Valerie LaPointe,https://image.tmdb.org/t/p/w500/6bvaPm3vqVnMVwKaDtuK2qoAvTd.jpg
Toy Story 4,Storywriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Toy Story 4,Storywriter,Will McCormack,https://image.tmdb.org/t/p/w500/AsSOsIeLyFqG24i4rludqD0hC2O.jpg
Toy Story 4,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Onward,Director,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
Onward,Musician,Mychael,https://image.tmdb.org/t/p/w500/4rHnaofLwdVB5B7X1QgtDWRxUo7.jpg
Onward,Musician,Jeff Danna,https://image.tmdb.org/t/p/w500/zaDjp7SHmSAw0lbhyet5gijUCZO.jpg
Onward,Producer,Kori Rae,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Onward,Screenwriter,Keith Bunin,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Onward,Screenwriter,Jason Headley,https://image.tmdb.org/t/p/w500/1fuAUSWgOklSMJ8C6jDkpbzDw41.jpg
Onward,Screenwriter,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
Onward,Storywriter,Keith Bunin,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Onward,Storywriter,Jason Headley,https://image.tmdb.org/t/p/w500/1fuAUSWgOklSMJ8C6jDkpbzDw41.jpg
Onward,Storywriter,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
Soul,Co-director,Kemp Powers,https://image.tmdb.org/t/p/w500/oE4TcENMQw25t4UTAjrnl0m4JyH.jpg
Soul,Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Soul,Musician,Trent Reznor,https://image.tmdb.org/t/p/w500/v6DcTfFqFTFaR8gqMK6sOODKS0T.jpg
Soul,Musician,Atticus Ross,https://image.tmdb.org/t/p/w500/q9FkywKCRqe3pNnhTApHYfnwMiC.jpg
Soul,Producer,Dana Murray,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Soul,Screenwriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Soul,Screenwriter,Mike Jones,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Soul,Screenwriter,Kemp Powers,https://image.tmdb.org/t/p/w500/oE4TcENMQw25t4UTAjrnl0m4JyH.jpg
Soul,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Soul,Storywriter,Mike Jones,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Soul,Storywriter,Kemp Powers,https://image.tmdb.org/t/p/w500/oE4TcENMQw25t4UTAjrnl0m4JyH.jpg
Luca,Director,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
Luca,Musician,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
Luca,Producer,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
